open_time_iso,open_time_unix,open,high,low,close,volume,close_time,number_of_trades
2019-09-20 04:00:00,1568966400000,238.70000000,306.09630000,0.00050000,1.00000000,37136.46000000,1568969999999,140
2019-09-20 05:00:00,1568970000000,1.00000000,1.00000000,0.99910000,1.00000000,8076.55000000,1568973599999,36
2019-09-20 06:00:00,1568973600000,0.99990000,1.00000000,0.99990000,0.99990000,8521.07000000,1568977199999,24
2019-09-20 07:00:00,1568977200000,0.99990000,1.00000000,0.99990000,0.99990000,2700.56000000,1568980799999,19
2019-09-20 08:00:00,1568980800000,1.00000000,1.00000000,0.99990000,1.00000000,3123.56000000,1568984399999,19
2019-09-20 09:00:00,1568984400000,0.99990000,1.00000000,0.99990000,0.99990000,6353.26000000,1568987999999,15
2019-09-20 10:00:00,1568988000000,1.00000000,1.00000000,0.99990000,0.99990000,24948.26000000,1568991599999,15
2019-09-20 11:00:00,1568991600000,0.99990000,1.00000000,0.99990000,0.99990000,6770.54000000,1568995199999,23
2019-09-20 12:00:00,1568995200000,1.00000000,1.00000000,0.99990000,1.00000000,34888.66000000,1568998799999,26
2019-09-20 13:00:00,1568998800000,1.00000000,1.00000000,0.99990000,1.00000000,6246.58000000,1569002399999,16
2019-09-20 14:00:00,1569002400000,0.99990000,1.00000000,0.99990000,1.00000000,3412.81000000,1569005999999,14
2019-09-20 15:00:00,1569006000000,1.00000000,1.00000000,0.99990000,0.99990000,2070.33000000,1569009599999,23
2019-09-20 16:00:00,1569009600000,1.00000000,1.00000000,0.99990000,0.99990000,835.55000000,1569013199999,8
2019-09-20 17:00:00,1569013200000,1.00000000,1.00000000,0.99990000,1.00000000,1462.75000000,1569016799999,14
2019-09-20 18:00:00,1569016800000,1.00000000,1.00000000,0.99990000,1.00000000,650.57000000,1569020399999,9
2019-09-20 19:00:00,1569020400000,1.00000000,1.00000000,0.99990000,1.00000000,10300.00000000,1569023999999,6
2019-09-20 20:00:00,1569024000000,1.00000000,1.00000000,0.99990000,1.00000000,16658.84000000,1569027599999,8
2019-09-20 21:00:00,1569027600000,1.00000000,1.00000000,0.99990000,0.99990000,1545.23000000,1569031199999,8
2019-09-20 22:00:00,1569031200000,0.99990000,1.00000000,0.99990000,1.00000000,249.13000000,1569034799999,4
2019-09-20 23:00:00,1569034800000,1.00000000,1.00000000,0.99990000,0.99990000,18308.31000000,1569038399999,12
2019-09-21 00:00:00,1569038400000,0.99990000,1.00000000,0.99990000,1.00000000,816.31000000,1569041999999,18
2019-09-21 01:00:00,1569042000000,1.00000000,1.00000000,0.99990000,1.00000000,43420.08000000,1569045599999,6
2019-09-21 02:00:00,1569045600000,1.00000000,1.00000000,0.99990000,1.00000000,23375.13000000,1569049199999,14
2019-09-21 03:00:00,1569049200000,0.99990000,1.00000000,0.99990000,0.99990000,865.15000000,1569052799999,9
2019-09-21 04:00:00,1569052800000,1.00000000,1.00000000,0.99990000,0.99990000,6360.07000000,1569056399999,11
2019-09-21 05:00:00,1569056400000,1.00000000,1.00000000,1.00000000,1.00000000,625.92000000,1569059999999,3
2019-09-21 06:00:00,1569060000000,0.99990000,1.00000000,0.99990000,0.99990000,8692.06000000,1569063599999,14
2019-09-21 07:00:00,1569063600000,0.99990000,1.00000000,0.99990000,1.00000000,483.90000000,1569067199999,7
2019-09-21 08:00:00,1569067200000,0.99990000,1.00000000,0.99990000,0.99990000,5484.88000000,1569070799999,15
2019-09-21 09:00:00,1569070800000,0.99990000,0.99990000,0.99990000,0.99990000,1233.27000000,1569074399999,7
2019-09-21 10:00:00,1569074400000,0.99990000,1.00000000,0.99990000,0.99990000,3103.98000000,1569077999999,8
2019-09-21 11:00:00,1569078000000,0.99990000,0.99990000,0.99990000,0.99990000,1297.37000000,1569081599999,4
2019-09-21 12:00:00,1569081600000,1.00000000,1.00000000,0.99990000,1.00000000,3252.92000000,1569085199999,8
2019-09-21 13:00:00,1569085200000,0.99990000,0.99990000,0.99990000,0.99990000,2523.45000000,1569088799999,2
2019-09-21 14:00:00,1569088800000,0.99990000,0.99990000,0.99990000,0.99990000,670.56000000,1569092399999,2
2019-09-21 15:00:00,1569092400000,0.99990000,0.99990000,0.99990000,0.99990000,0.00000000,1569095999999,0
2019-09-21 16:00:00,1569096000000,0.99990000,0.99990000,0.99990000,0.99990000,10.03000000,1569099599999,1
2019-09-21 17:00:00,1569099600000,0.99990000,0.99990000,0.99990000,0.99990000,2009.39000000,1569103199999,54
2019-09-21 18:00:00,1569103200000,0.99990000,0.99990000,0.99990000,0.99990000,99.68000000,1569106799999,1
2019-09-21 19:00:00,1569106800000,0.99990000,0.99990000,0.99990000,0.99990000,188.62000000,1569110399999,1
2019-09-21 20:00:00,1569110400000,0.99990000,0.99990000,0.99990000,0.99990000,126.14000000,1569113999999,2
2019-09-21 21:00:00,1569114000000,1.00000000,1.00000000,0.99990000,0.99990000,1656.48000000,1569117599999,5
2019-09-21 22:00:00,1569117600000,1.00000000,1.00000000,0.99990000,0.99990000,119.77000000,1569121199999,4
2019-09-21 23:00:00,1569121200000,0.99990000,0.99990000,0.99990000,0.99990000,0.00000000,1569124799999,0
2019-09-22 00:00:00,1569124800000,0.99990000,1.00000000,0.99990000,0.99990000,3604.93000000,1569128399999,4
2019-09-22 01:00:00,1569128400000,0.99990000,1.00000000,0.99990000,1.00000000,65311.57000000,1569131999999,5
2019-09-22 02:00:00,1569132000000,1.00000000,1.00010000,0.99990000,1.00000000,32699.72000000,1569135599999,6
2019-09-22 03:00:00,1569135600000,1.00000000,1.00000000,1.00000000,1.00000000,258.40000000,1569139199999,2
2019-09-22 04:00:00,1569139200000,1.00000000,1.00010000,1.00000000,1.00010000,1173.08000000,1569142799999,2
2019-09-22 05:00:00,1569142800000,1.00010000,1.00010000,0.99990000,0.99990000,4063.04000000,1569146399999,3
2019-09-22 06:00:00,1569146400000,0.99990000,0.99990000,0.99990000,0.99990000,512.99000000,1569149999999,2
2019-09-22 07:00:00,1569150000000,0.99990000,0.99990000,0.99990000,0.99990000,501.04000000,1569153599999,1
2019-09-22 08:00:00,1569153600000,0.99990000,1.00000000,0.99990000,0.99990000,1482.30000000,1569157199999,8
2019-09-22 09:00:00,1569157200000,0.99990000,0.99990000,0.99990000,0.99990000,521.56000000,1569160799999,2
2019-09-22 10:00:00,1569160800000,0.99990000,0.99990000,0.99990000,0.99990000,10857.72000000,1569164399999,2
2019-09-22 11:00:00,1569164400000,1.00000000,1.00000000,0.99990000,0.99990000,282.44000000,1569167999999,2
2019-09-22 12:00:00,1569168000000,0.99990000,0.99990000,0.99990000,0.99990000,0.00000000,1569171599999,0
2019-09-22 13:00:00,1569171600000,0.99990000,0.99990000,0.99990000,0.99990000,100.00000000,1569175199999,1
2019-09-22 14:00:00,1569175200000,1.00000000,1.00000000,1.00000000,1.00000000,1102.60000000,1569178799999,1
2019-09-22 15:00:00,1569178800000,1.00000000,1.00000000,1.00000000,1.00000000,857.92000000,1569182399999,2
2019-09-22 16:00:00,1569182400000,0.99990000,0.99990000,0.99990000,0.99990000,1874.27000000,1569185999999,4
2019-09-22 17:00:00,1569186000000,1.00000000,1.00000000,1.00000000,1.00000000,347.78000000,1569189599999,2
2019-09-22 18:00:00,1569189600000,0.99990000,0.99990000,0.99990000,0.99990000,512.51000000,1569193199999,1
2019-09-22 19:00:00,1569193200000,0.99990000,0.99990000,0.99990000,0.99990000,0.00000000,1569196799999,0
2019-09-22 20:00:00,1569196800000,0.99990000,0.99990000,0.99990000,0.99990000,493.21000000,1569200399999,1
2019-09-22 21:00:00,1569200400000,0.99990000,0.99990000,0.99990000,0.99990000,21.98000000,1569203999999,1
2019-09-22 22:00:00,1569204000000,1.00000000,1.00000000,0.99990000,0.99990000,453.56000000,1569207599999,2
2019-09-22 23:00:00,1569207600000,1.00000000,1.00000000,1.00000000,1.00000000,60323.12000000,1569211199999,2
2019-09-23 00:00:00,1569211200000,1.00000000,1.00000000,1.00000000,1.00000000,106550.01000000,1569214799999,34
2019-09-23 01:00:00,1569214800000,1.00000000,1.00000000,1.00000000,1.00000000,57068.61000000,1569218399999,11
2019-09-23 02:00:00,1569218400000,1.00000000,1.00000000,0.99990000,1.00000000,19649.98000000,1569221999999,32
2019-09-23 03:00:00,1569222000000,1.00000000,1.00000000,1.00000000,1.00000000,148390.84000000,1569225599999,64
